"jou","issn","SciMet_A","SciMet_B","SciMet_C","entry"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"ZooKeys","1313-2989","Natural Sciences","Biology","Zoology","manual"
"Physics Letters B","0370-2693","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Journal of Materials Chemistry","2050-7526","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","custom"
"Physical Review C - Nuclear Physics","2469-9985","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Chemphyschem","1439-4235","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"Journal of High Energy Physics","1029-8479","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Nature","0028-0836","General","General Science & Technology","General Science & Technology","auto_issn"
"Physical Review C - Nuclear Physics","2469-9985","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_name"
"Physical Review Letters","0031-9007","Natural Sciences","Physics & Astronomy","General Physics","auto_issn"
"Astronomy & astrophysics","1432-0746","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","manual"
"Physical Review D - Particles, Fields, Gravitation, and Cosmology","2470-0010","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","select_name"
"Proceedings of the National Academy of Sciences of the United States of America","0027-8424","General","General Science & Technology","General Science & Technology","manual"
"Molecular Phylogenetics and Evolution","1055-7903","Natural Sciences","Biology","Evolutionary Biology","auto_issn"
"Annals of Oncology","0923-7534","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Annals of Oncology","0923-7534","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Annals of Oncology","0923-7534","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Communications in computational physics","1815-2406","Natural Sciences","Mathematics & Statistics","Applied Mathematics","auto_issn"
"Journal of Hypertension","0263-6352","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"Journal of Thoracic Oncology","1556-0864","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Journal of Thoracic Oncology","1556-0864","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Journal of Thoracic Oncology","1556-0864","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Shock","1073-2322","Health Sciences","Clinical Medicine","Emergency & Critical Care Medicine","auto_issn"
"Atherosclerosis","0021-9150","Health Sciences","Clinical Medicine","Cardiovascular System & Hematology","auto_issn"
"Chaos","1054-1500","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Digest Journal of Nanomaterials and Biostructures","1842-3582","Applied Sciences","Enabling & Strategic Technologies","Nanoscience & Nanotechnology","manual"
"Entropy (Basel, Switzerland)","1099-4300","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","select_name"
"Faraday Discussions","1359-6640","Natural Sciences","Physics & Astronomy","Chemical Physics","auto_issn"
"Global Change Biology","1354-1013","Natural Sciences","Biology","Ecology","auto_issn"
"Global Change Biology","1354-1013","Natural Sciences","Biology","Ecology","auto_issn"
"Hepatology","0270-9139","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Hepatology","0270-9139","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Hepatology","0270-9139","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"IEEE Transactions on Intelligent Transportation Systems","1524-9050","Economic & Social Sciences","Economics & Business ","Logistics & Transportation","auto_issn"
"Intensive Care Medicine","0342-4642","Health Sciences","Clinical Medicine","Emergency & Critical Care Medicine","auto_issn"
"International Journal of Plasticity","0749-6419","Applied Sciences","Engineering","Mechanical Engineering & Transports","auto_issn"
"International Journal of Psychology","0020-7594","Health Sciences","Psychology & Cognitive Sciences","Social Psychology","auto_issn"
"ISPRS Journal of Photogrammetry and Remote Sensing","0924-2716","Applied Sciences","Engineering","Geological & Geomatics Engineering","auto_issn"
"Journal of Affective Disorders","0165-0327","Health Sciences","Clinical Medicine","Psychiatry","auto_issn"
"Journal of Business Research","0148-2963","Economic & Social Sciences","Economics & Business ","Marketing","auto_issn"
"Journal of Cleaner Production","0959-6526","Natural Sciences","Earth & Environmental Sciences","Environmental Sciences","auto_issn"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of Instrumentation","1748-0221","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Journal of Traditional Chinese Medicine","0255-2922","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"The Lancet","0140-6736","Health Sciences","Clinical Medicine","General & Internal Medicine","auto_issn"
"Livestock Science","1871-1413","Applied Sciences","Agriculture, Fisheries & Forestry","Dairy & Animal Science","auto_issn"
"Movement Disorders","0885-3185","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Movement Disorders","0885-3185","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Nature Genetics","1061-4036","Health Sciences","Biomedical Research","Developmental Biology","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Physics A","0375-9474","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"PLoS genetics","1553-7404","Health Sciences","Biomedical Research","Developmental Biology","auto_name"
"Xiyou Jinshu Cailiao Yu Gongcheng/Rare Metal Materials and Engineering","1002-185X","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Tectonics","0278-7407","Natural Sciences","Earth & Environmental Sciences","Geochemistry & Geophysics","auto_issn"
"Journal of geophysical research. Space physics","2169-9380","Natural Sciences","Earth & Environmental Sciences","Meteorology & Atmospheric Sciences","manual"
"Energies",NA,"Applied Sciences","Enabling & Strategic Technologies","Energy","manual"
"Journal of Sport and Health Science","2095-2546","Health Sciences","Clinical Medicine","Sport Sciences","manual"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Review of Scientific Instruments","0034-6748","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"Science Advances","2375-2548","General","General Science & Technology","General Science & Technology","manual"
"Clinical Oral Implants Research","0905-7161","Health Sciences","Clinical Medicine","Dentistry","auto_issn"
"Clinical Oral Implants Research","0905-7161","Health Sciences","Clinical Medicine","Dentistry","auto_issn"
"Multiple Sclerosis","1352-4585","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Chaos","1054-1500","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Chaos","1054-1500","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Stem Cells","1066-5099","Health Sciences","Clinical Medicine","Immunology","auto_issn"
"IEEE Transactions on Circuits and Systems for Video Technology","1051-8215","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Infection","0300-8126","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Infection","0300-8126","Health Sciences","Biomedical Research","Microbiology","auto_issn"
"Plasma Processes and Polymers","1612-8850","Natural Sciences","Physics & Astronomy","Applied Physics","auto_issn"
"International Journal of Behavioral Medicine","1070-5503","Health Sciences","Public Health & Health Services","Public Health","auto_issn"
"Hepatology","0270-9139","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Hepatology","0270-9139","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Hepatology","0270-9139","Health Sciences","Clinical Medicine","Gastroenterology & Hepatology","auto_issn"
"Information Sciences","0020-0255","Applied Sciences","Information & Communication Technologies","Artificial Intelligence & Image Processing","auto_issn"
"Chinese Journal of Integrative Medicine","1672-0415","Health Sciences","Clinical Medicine","Complementary & Alternative Medicine","auto_issn"
"Clinical cancer research : an official journal of the American Association for Cancer Research","1078-0432","Health Sciences","Clinical Medicine","Oncology & Carcinogenesis","auto_issn"
"Early Intervention in Psychiatry","1751-7885","Health Sciences","Clinical Medicine","Psychiatry","auto_issn"
"The Lancet Neurology","1474-4422","Health Sciences","Clinical Medicine","Neurology & Neurosurgery","auto_issn"
"Metallurgical and Materials Transactions B","1073-5615","Applied Sciences","Engineering","Mining & Metallurgy","auto_issn"
"Composites Part B: Engineering","1359-8368","Applied Sciences","Enabling & Strategic Technologies","Materials","auto_issn"
"Astrophysics and Space Science","0004-640X","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Monthly Notices of the Royal Astronomical Society","0035-8711","Natural Sciences","Physics & Astronomy","Astronomy & Astrophysics","auto_issn"
"Journal of Bridge Engineering","1084-0702","Applied Sciences","Engineering","Civil Engineering","auto_issn"
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","0168-9002","Natural Sciences","Physics & Astronomy","Nuclear & Particles Physics","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Nuclear Fusion","0029-5515","Natural Sciences","Physics & Astronomy","Fluids & Plasmas","auto_issn"
"Communications in Nonlinear Science and Numerical Simulation","1007-5704","Natural Sciences","Physics & Astronomy","Mathematical Physics","auto_issn"
